source,target,interaction,directed,symbol,value
M_6pgc_c,R_GND,PP,TRUE,abc3759,1.234
M_nadp_c,R_GND,PP,TRUE,abc3759,1.234
R_GND,M_co2_c,PP,TRUE,abc3759,1.234
R_GND,TTM_nadph_c,PP,TRUE,abc3759,1.234
R_GND,M_ru5p__D_c,PP,TRUE,abc3759,1.234
M_co2_c,R_PPC,PP,TRUE,abc3759,1.234
TTM_h2o_c,R_PPC,PP,TRUE,abc3759,1.234
TTM_pep_c,R_PPC,PP,TRUE,abc3759,1.234
R_PPC,M_h_c,PP,TRUE,abc3759,1.234
R_PPC,M_oaa_c,PP,TRUE,abc3759,1.234
R_PPC,OOM_pi_c,PP,TRUE,abc3759,1.234
TTM_nad_c,R_NADTRHD,PP,TRUE,abc4837,1.234
TTM_nadph_c,R_NADTRHD,PP,TRUE,abc4837,1.234
R_NADTRHD,M_nadh_c,PP,TRUE,abc4837,1.234
R_NADTRHD,M_nadp_c,PP,TRUE,abc4837,1.234
TTM_6pgl_c,R_PGL,PP,TRUE,abc5637,1.234
TTM_h2o_c,R_PGL,PP,TRUE,abc5637,1.234
R_PGL,M_6pgc_c,PP,TRUE,abc5637,1.234
R_PGL,M_h_c,PP,TRUE,abc5637,1.234
